"Date.Added","Category.1","Category.2","Sub.Category.1","Sub.Category.2","Role","Real.Name","Sentiment","Hashtags","Comments","Tweet.example.text","Tweet.example.link"
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#schwarzgrün",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#schwarzgruen",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#g2r",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#r2g",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,"negative","#r2gunwählbar",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#wechselstimmung",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#wergewinntdiewahl",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#stimmenauszählung",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlkampf",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlwerbung",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlplakat",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlflyer",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlstand",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#briefwahl",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlprogramme",NA,NA,NA
NA,"Election",NA,"Election campaign",NA,NA,NA,NA,"#wahlprogramm",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#augenaufbeimkreuzchenmachen ",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#wählen",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#waehlen",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#wählengehen",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#waehlengehen",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#muslimewaehlendeutschland",NA,NA,NA
NA,"Election",NA,"Election action",NA,NA,NA,NA,"#ichwaehleduauch",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#ichwähleduauch",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#wahlfälschung",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#wahlbetrug",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#wahlalter16",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#kandidatenliste",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#kandidatenlisten",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#landesliste",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#landeslisten",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#direkmandat",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#direktmandate",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#erststimme",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#zweitstimme",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#zweitstimmenanteil",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#bundeswahlleiter",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#wahlparty",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#spitzenkandidat",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#spitzenkandidaten",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#spitzenkandidatin",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#spitzenkandidatinnen",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#wahlhelferinnen",NA,NA,NA
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#wahlhelfer",NA,"#Wahlhelfer gesucht! Wahlurne mit StimmzettelFür die #Bundestagswahl suchen wir in #Kaiserslautern noch Mitarbeitende für den Wahlvorstand. Mehr Infos und Kontakt Pfeil nach rechtshttps://kaiserslautern.de/buerger_rathaus_politik/medienportal/pressemitteilungen/061536/index.html.de… Telefon0631 365-1125 E-Mail Symbolwahlen@kaiserslautern.de","https://twitter.com/StadtKL/status/1412714209364824073"
NA,"Election",NA,"Election process",NA,NA,NA,NA,"#kandidateneffekt",NA,NA,NA
NA,"Election",NA,"Debate",NA,NA,NA,NA,"#tvduell",NA,NA,NA
NA,"Election",NA,"Debate",NA,NA,NA,NA,"#kanzlerduell",NA,NA,NA
NA,"Election",NA,"Debate",NA,NA,NA,NA,"#elefantenrunde",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet",NA,"#laschet",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet",NA,"#arminlaschet",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet",NA,"#laschetpolitik",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#laschetverhindern ",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#arminlasses",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#kohlearmin",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#laschetvernichtetarbeitsplätze",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#allegegenlaschet",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#laschetsein",NA,NA,NA
NA,"Political Actors",NA,"CDU","CSU","leader, candidate","Armin Laschet","negative","#virusarmin",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"former chancellor","Angela Merkel",NA,"#merkel",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"former chancellor","Angela Merkel",NA,"#angelamerkel",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"former chancellor","Angela Merkel","negative","#merkelmussweg",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"former chancellor","Angela Merkel",NA,"#mutti",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"leader parliamentary group","Ralph Brinkhaus",NA,"#ralphbrinkhaus",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"leader parliamentary group","Ralph Brinkhaus",NA,"#brinkhaus",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"secretary general","Paul Ziemiak",NA,"#paulziemiak",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"secretary general","Paul Ziemiak",NA,"#ziemiak",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"defense minister","Anngret Kramp-Karrenbauer",NA,"#annegretkramp-karrenbauer",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"defense minister","Anngret Kramp-Karrenbauer",NA,"#kramp-karrenbauer",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"defense minister","Anngret Kramp-Karrenbauer",NA,"#krampkarrenbauer",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"defense minister","Anngret Kramp-Karrenbauer",NA,"#akk",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"employment minister","Peter Altmair",NA,"#peteraltmair",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"employment minister","Peter Altmair",NA,"#altmaier",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"former defense minister","Ursula von der Leyer",NA,"#ursulavonderleyen",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"former defense minister","Ursula von der Leyer",NA,"#vonderleyen",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"agriculture minister","Julia Klöckner",NA,"#klöckner",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"agriculture minister","Julia Klöckner",NA,"#kloeckner",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"agriculture minister","Julia Klöckner",NA,"#juliaklöckner",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"agriculture minister","Julia Klöckner",NA,"#juliakloeckner",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"health minister","Jens Spahn",NA,"#jensspahn",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"health minister","Jens Spahn",NA,"#spahn",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"health minister","Jens Spahn",NA,"#spahnjens",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"education minister","Anja Karliczek",NA,"#anjakarliczek",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"education minister","Anja Karliczek",NA,"#karliczek",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor hessen","Volker Bouffier",NA,"#volkerbouffier",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor hessen","Volker Bouffier",NA,"#bouffier",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor saarland","Tobias Hans",NA,"#tobiashans",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor sachsen","Michael Kretschmer",NA,"#michaelkretschmer",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor sachsen","Michael Kretschmer",NA,"#kretschmer",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor sachsen-anhalt","Reiner Haseloff",NA,"#reinerhaseloff",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor sachsen-anhalt","Reiner Haseloff",NA,"#haseloff",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor schleswig-holstein","Daniel Günther",NA,"#danielgünther",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"governor schleswig-holstein","Daniel Günther",NA,"#danielguenther",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"other","Hans-Georg Maaßen",NA,"#hansgeorgmaaßen",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"other","Hans-Georg Maaßen",NA,"#maassen",NA,NA,NA
NA,"Political Actors",NA,"CDU",NA,"other","Friedrich Merz","negative","#merzverhindern",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"leader","Markus Söder",NA,"#markussöder",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"leader","Markus Söder",NA,"#söder",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"leader","Markus Söder",NA,"#markussoeder",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"leader","Markus Söder",NA,"#soeder",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"leader CSU group ","Alexander Dobrindt",NA,"#alexanderdobrindt",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"leader CSU group ","Alexander Dobrindt",NA,"#dobrindt",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"secretary general","Markus Blume",NA,"#markusblume",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"interior minister","Horst Seehofer",NA,"#horstseehofer",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"interior minister","Horst Seehofer",NA,"#seehofer",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"transportation minister","Andreas Scheuer",NA,"#andreasscheuer",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"transportation minister","Andreas Scheuer",NA,"#scheuer",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"transportation minister","Andreas Scheuer",NA,"#scheuerandi",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"development minister","Gerd Müller",NA,"#gerdmüller",NA,NA,NA
NA,"Political Actors",NA,"CSU",NA,"development minister","Gerd Müller",NA,"#gerdmueller",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader, candidate","Olaf Scholz",NA,"#olafscholz",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader, candidate","Scholz ",NA,"#scholz",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader","Saskia Esken",NA,"#saskiaesken",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader","Saskia Esken",NA,"#esken",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader","Norbert Walter-Borjans",NA,"#norbertwalter-borjans",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader","Norbert Walter-Borjans",NA,"#norbertwalterborjans",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader","Norbert Walter-Borjans",NA,"#walter-borjans",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader","Norbert Walter-Borjans",NA,"#walterborjans",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"secretary general","Lars Klingbeil",NA,"#larsklingbeil",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"secretary general","Lars Klingbeil",NA,"#klingbeil",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader parliamentary group","Rolf Mützenich",NA,"#rolfmützenich",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader parliamentary group","Rolf Mützenich",NA,"#rolfmuetzenich",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader parliamentary group","Rolf Mützenich",NA,"#mützenich",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"leader parliamentary group","Rolf Mützenich",NA,"#muetzenich",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"foreign minister","Heiko Maas",NA,"#heikomaas",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"foreign minister","Heiko Maas",NA,"#maas",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"foreign minister","Heiko Maas",NA,"#maasvoll",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"former justice minister","Katarina Barley",NA,"#katarinabarley",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"former justice minister","Katarina Barley",NA,"#barley",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"justice minister, family minister","Christine Lambrecht",NA,"#christinelambrecht",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"justice minister, family minister","Christine Lambrecht",NA,"#lambrecht",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"employment minister","Hubertusheil",NA,"#hubertusheil",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"former family minister","Franziska Giffey",NA,"#franziskagiffey",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"former family minister","Franziska Giffey",NA,"#giffey",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"environment minister","Svenja Schulze",NA,"#svenjaschulze",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor berlin","Michael Müller",NA,"#michaelmüller",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor berlin","Michael Müller",NA,"#michaelmueller",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor brandenburg","Dietmar Woidke",NA,"#dietmarwoidke",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor brandenburg","Dietmar Woidke",NA,"#woidke",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor bremen","Andreas Bovenschulte",NA,"#andreasbovenschulte",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor bremen","Andreas Bovenschulte",NA,"#bovenschulte",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor hamburg","Peter Tschentscher",NA,"#petertschentscher",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor hamburg","Peter Tschentscher",NA,"#tschentscher",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor m-v","Manuela Schwesig",NA,"#manuelaschwesig",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor m-v","Manuela Schwesig",NA,"#schwesig",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor niedersachsen","Stephan Weil",NA,"#stephanweil",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor rheinland-pfalz","Malu Dreyer",NA,"#maludreyer",NA,NA,NA
NA,"Political Actors",NA,"SPD",NA,"governor rheinland-pfalz","Malu Dreyer",NA,"#dreyer",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"leader, candidate, parliamentary group","Christian Lindner",NA,"#christianlindner",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"leader, candidate, parliamentary group","Christian Lindner",NA,"#lindner",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"secretary general","Volker Wissing",NA,"#volkerwissing",NA,NA,NA
NA,"Political Actors",NA,"FDP",NA,"secretary general","Volker Wissing",NA,"#wissing",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock",NA,"#annalenabaerbock",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock",NA,"#baerbock",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","positive","#baerbockforkanzlerin",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","positive","#baerbockzug",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerplag",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockplag",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerplug",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockfail",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockfails",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockmist",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockverhindern",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#baerbockgate",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader, candidate","Annalena Baerbock","negative","#verbaerbockt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader","Robert Habeck",NA,"#roberthabeck",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"leader","Robert Habeck",NA,"#habeck",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringöring-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringöringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringoering-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#katringoeringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#göring-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#goering-eckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#göringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Katrin Göring-Eckardt",NA,"#goeringeckardt",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Anton Hofreiter",NA,"#antonhofreiter",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"parliamentary group","Anton Hofreiter",NA,"#hofreiter",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"secretary general","Michael Kellner",NA,"#michaelkellner",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"governor baden-württemberg","Winfried Kretschmann",NA,"#winfriedkretschmann",NA,NA,NA
NA,"Political Actors",NA,"Bündnis 90/Die Grünen",NA,"governor baden-württemberg","Winfried Kretschmann",NA,"#kretschmann",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader, candidate","Tino Chrupalla",NA,"#tinochrupalla",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"leader, candidate","Tino Chrupalla",NA,"#chrupalla",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"candidate, parliamentary group","Alice Weidel",NA,"#aliceweidel",NA,NA,NA
NA,"Political Actors",NA,"AfD",NA,"candidate, parliamentary group","Alice Weidel",NA,"#weidel",NA,NA,NA
